Zone,1,2,3,4,Total
t166,7.941841730234985e-11,9.11701321938224e-11,8.891311124952662e-11,6.543889201332511e-11,3.2494055275902395e-10
t167,7.942516916928819e-11,9.118145030724467e-11,8.892248827154061e-11,6.544725064898671e-11,3.2497635839706016e-10
t168,7.942142815784155e-11,9.117599907328325e-11,8.891307124994166e-11,6.54455362612266e-11,3.2495603474229307e-10
t169,7.940022432934372e-11,9.114599717717304e-11,8.88781221155466e-11,6.542863183485105e-11,3.248529754569144e-10
t170,7.935819800283091e-11,9.108707441700983e-11,8.881256997589095e-11,6.539300649799119e-11,3.246508488937229e-10
t171,7.930565214734145e-11,9.101124389375156e-11,8.872781011452766e-11,6.534685701526e-11,3.243915631708807e-10
t172,7.925218547816721e-11,9.092832268824816e-11,8.863340504035861e-11,6.529746566450417e-11,3.2411137887127817e-10
t173,7.920249122029065e-11,9.083844131859821e-11,8.852868786874908e-11,6.524640268584423e-11,3.2381602309348217e-10
t174,7.915356143868455e-11,9.072866909465974e-11,8.839987641500469e-11,6.518757155197235e-11,3.2346967850032133e-10
t175,7.909485480956373e-11,9.057046003653761e-11,8.821981723393358e-11,6.510794641888241e-11,3.229930784989173e-10
t176,7.897223356363419e-11,9.027521187923087e-11,8.790869355175763e-11,6.495864760893468e-11,3.221147866035574e-10
t177,7.89584976257403e-11,9.001089820117296e-11,8.76397017229421e-11,6.487917480276903e-11,3.2148827235262444e-10
t178,7.951321578184903e-11,9.0276633263315e-11,8.796457461797656e-11,6.528153413145923e-11,3.230359577945998e-10
t179,7.929810606452194e-11,8.984991776247928e-11,8.760754431800045e-11,6.506649699599323e-11,3.2182206514099493e-10
t180,7.917414870026111e-11,8.964103128441356e-11,8.74248802053478e-11,6.493736298160281e-11,3.211774231716253e-10
t181,7.922674769915169e-11,8.974959290445987e-11,8.754787427097929e-11,6.498674509051118e-11,3.21510959965102e-10
t182,7.940633105371461e-11,9.012767410416712e-11,8.79238310090579e-11,6.517119809605544e-11,3.2262903426299504e-10
t183,7.968302748486793e-11,9.071046387741365e-11,8.845050234303004e-11,6.544029528584705e-11,3.2428428899115866e-10
t184,7.907375150057936e-11,9.037617892190972e-11,8.808469949741943e-11,6.501005618300639e-11,3.2254468610291495e-10
t185,7.905325332401577e-11,9.051244458798709e-11,8.824058761065067e-11,6.504847699900099e-11,3.2285476252165455e-10
t186,7.919189659113574e-11,9.07787040721477e-11,8.851803817169982e-11,6.520277424230587e-11,3.236914130772891e-10
t187,7.933924544963199e-11,9.100801146038629e-11,8.874880804997743e-11,6.534311301203227e-11,3.2443917797202795e-10
t188,7.934426821471936e-11,9.104529923409747e-11,8.879791701943403e-11,6.536222075217588e-11,3.2454970522042674e-10
t189,7.933034982053621e-11,9.104492052813561e-11,8.880779136836492e-11,6.536115334303535e-11,3.245442150600721e-10
t190,7.931782439765828e-11,9.103640146370647e-11,8.880672062366978e-11,6.535607651486612e-11,3.245170229999006e-10
t191,7.93102673895844e-11,9.10292343024304e-11,8.880451445710918e-11,6.535205772896694e-11,3.244960738780909e-10
t192,7.931322486482874e-11,9.103274887882742e-11,8.881209323704988e-11,6.535579903554255e-11,3.2451386601624856e-10
